kommune_no,kommune_name,fylke_no,fylke_name
0301,Oslo,03,Oslo
1101,Eigersund,11,Rogaland
1103,Stavanger,11,Rogaland
1106,Haugesund,11,Rogaland
1108,Sandnes,11,Rogaland
1111,Sokndal,11,Rogaland
1112,Lund,11,Rogaland
1114,Bjerkreim,11,Rogaland
1119,Hå,11,Rogaland
1120,Klepp,11,Rogaland
1121,Time,11,Rogaland
1122,Gjesdal,11,Rogaland
1124,Sola,11,Rogaland
1127,Randaberg,11,Rogaland
1130,Strand,11,Rogaland
1133,Hjelmeland,11,Rogaland
1134,Suldal,11,Rogaland
1135,Sauda,11,Rogaland
1144,Kvitsøy,11,Rogaland
1145,Bokn,11,Rogaland
1146,Tysvær,11,Rogaland
1149,Karmøy,11,Rogaland
1151,Utsira,11,Rogaland
1160,Vindafjord,11,Rogaland
1505,Kristiansund,15,Møre og Romsdal
1506,Molde,15,Møre og Romsdal
1507,Ålesund,15,Møre og Romsdal
1511,Vanylven,15,Møre og Romsdal
1514,Sande,15,Møre og Romsdal
1515,Herøy (Møre og Romsdal),15,Møre og Romsdal
1516,Ulstein,15,Møre og Romsdal
1517,Hareid,15,Møre og Romsdal
1520,Ørsta,15,Møre og Romsdal
1525,Stranda,15,Møre og Romsdal
1528,Sykkylven,15,Møre og Romsdal
1531,Sula,15,Møre og Romsdal
1532,Giske,15,Møre og Romsdal
1535,Vestnes,15,Møre og Romsdal
1539,Rauma,15,Møre og Romsdal
1547,Aukra,15,Møre og Romsdal
1554,Averøy,15,Møre og Romsdal
1557,Gjemnes,15,Møre og Romsdal
1560,Tingvoll,15,Møre og Romsdal
1563,Sunndal,15,Møre og Romsdal
1566,Surnadal,15,Møre og Romsdal
1573,Smøla,15,Møre og Romsdal
1576,Aure,15,Møre og Romsdal
1577,Volda,15,Møre og Romsdal
1578,Fjord,15,Møre og Romsdal
1579,Hustadvika,15,Møre og Romsdal
1804,Bodø,18,Nordland
1806,Narvik,18,Nordland
1811,Bindal,18,Nordland
1812,Sømna,18,Nordland
1813,Brønnøy,18,Nordland
1815,Vega,18,Nordland
1816,Vevelstad,18,Nordland
1818,Herøy (Nordland),18,Nordland
1820,Alstahaug,18,Nordland
1822,Leirfjord,18,Nordland
1824,Vefsn,18,Nordland
1825,Grane,18,Nordland
1826,Hattfjelldal,18,Nordland
1827,Dønna,18,Nordland
1828,Nesna,18,Nordland
1832,Hemnes,18,Nordland
1833,Rana,18,Nordland
1834,Lurøy,18,Nordland
1835,Træna,18,Nordland
1836,Rødøy,18,Nordland
1837,Meløy,18,Nordland
1838,Gildeskål,18,Nordland
1839,Beiarn,18,Nordland
1840,Saltdal,18,Nordland
1841,Fauske,18,Nordland
1845,Sørfold,18,Nordland
1848,Steigen,18,Nordland
1851,Lødingen,18,Nordland
1853,Evenes,18,Nordland
1856,Røst,18,Nordland
1857,Værøy,18,Nordland
1859,Flakstad,18,Nordland
1860,Vestvågøy,18,Nordland
1865,Vågan,18,Nordland
1866,Hadsel,18,Nordland
1867,Bø,18,Nordland
